date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:46	225/225	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:38%20GMT	http://www.phon.ox.ac.uk/~jcoleman/gbu.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/gbu.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:46	7400/7400	---M--	200	added ('OK')	audio/x-wav	etag:%22122b5b-1ce8-37b7900fd6e00%22	http://www.phon.ox.ac.uk/jcoleman/kd_u.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/kd_u.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:47	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:39%20GMT	http://www.phon.ox.ac.uk/~jcoleman/kwd_ix.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/kwd_ix.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:47	14318/14318	---M--	200	added ('OK')	audio/x-wav	etag:%22122a85-37ee-37b78f764c3c0%22	http://www.phon.ox.ac.uk/jcoleman/aqwr_nif.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/aqwr_nif.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:47	7458/7458	---M--	200	added ('OK')	audio/x-wav	etag:%22122af5-1d22-37b78fae90880%22	http://www.phon.ox.ac.uk/jcoleman/gbu.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/gbu.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:47	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:40%20GMT	http://www.phon.ox.ac.uk/~jcoleman/ikwbar.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/ikwbar.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:48	8286/8286	---M--	200	added ('OK')	audio/x-wav	etag:%22122b61-205e-37b7901778000%22	http://www.phon.ox.ac.uk/jcoleman/kwd_ix.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/kwd_ix.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:48	229/229	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:40%20GMT	http://www.phon.ox.ac.uk/~jcoleman/SSYwr_S.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/SSYwr_S.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:48	226/226	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:41%20GMT	http://www.phon.ox.ac.uk/~jcoleman/akwr.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/akwr.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:49	13400/13400	---M--	200	added ('OK')	audio/x-wav	etag:%22122b22-3458-37b78fc2977c0%22	http://www.phon.ox.ac.uk/jcoleman/ikwbar.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/ikwbar.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:50	226/226	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:42%20GMT	http://www.phon.ox.ac.uk/~jcoleman/agwl.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/agwl.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:50	11248/11248	---M--	200	added ('OK')	audio/x-wav	etag:%22122a44-2bf0-37b8a5e8af400%22	http://www.phon.ox.ac.uk/jcoleman/SSYwr_S.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/SSYwr_S.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:50	7318/7318	---M--	200	added ('OK')	audio/x-wav	etag:%22122a7e-1c96-37b8a5eb8bac0%22	http://www.phon.ox.ac.uk/jcoleman/akwr.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/akwr.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:50	227/227	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:42%20GMT	http://www.phon.ox.ac.uk/~jcoleman/jukrr.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/jukrr.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:50	226/226	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:43%20GMT	http://www.phon.ox.ac.uk/~jcoleman/jugl.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/jugl.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:51	7976/7976	---M--	200	added ('OK')	audio/x-wav	etag:%22122a77-1f28-37b8a5ea97880%22	http://www.phon.ox.ac.uk/jcoleman/agwl.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/agwl.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:51	226/226	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:43%20GMT	http://www.phon.ox.ac.uk/~jcoleman/ugmn.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/ugmn.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:51	8968/8968	---M--	200	added ('OK')	audio/x-wav	etag:%22122b56-2308-37b8a5f9d9c80%22	http://www.phon.ox.ac.uk/jcoleman/jukrr.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/jukrr.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:52	228/228	---M-Z	302	error ('Found')	text/html	date:Mon,%2017%20Oct%202022%2012:43:44%20GMT	http://www.phon.ox.ac.uk/~jcoleman/managu.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/_jcoleman/managu.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
13:58:52	7640/7640	---M--	200	added ('OK')	audio/x-wav	etag:%22122b55-1dd8-37b8a5f9d9c80%22	http://www.phon.ox.ac.uk/jcoleman/jugl.wav	C:/My%20Web%20Sites/coleman2/www.phon.ox.ac.uk/jcoleman/jugl.wav	(from http://www.phon.ox.ac.uk/jcoleman/TPS.html)
